Unnamed: 0;word;translation;type;cefr;phon_br;phon_n_am;definition;example
0;a;один;indefinite article;a1;/ə/;/ə/;used before countable or singular nouns referring to people or things that have not already been mentioned;a man/horse/unit
1;abandon;відмовитися;verb;b2;/əˈbændən/;/əˈbændən/;to leave somebody, especially somebody you are responsible for, with no intention of returning;abandon somebody, The baby had been abandoned by its mother.
2;ability;здатність;noun;a2;/əˈbɪləti/;/əˈbɪləti/;the fact that somebody/something is able to do something;People with the disease may lose their ability to communicate.
3;able;здатний;adjective;a2;/ˈeɪbl/;/ˈeɪbl/;to have the skill, intelligence, opportunity, etc. needed to do something;You must be able to speak French for this job.
4;abolish;скасувати;verb;c1;/əˈbɒlɪʃ/;/əˈbɑːlɪʃ/;to officially end a law, a system or an institution;This tax should be abolished.
5;abortion;аборт;noun;c1;/əˈbɔːʃn/;/əˈbɔːrʃn/;the deliberate ending of a pregnancy at an early stage;to support/oppose abortion
6;about;про;adverb;a1;/əˈbaʊt/;/əˈbaʊt/;"a little more or less than; a little before or after";It costs about $10.
7;about;про;preposition;a1;/əˈbaʊt/;/əˈbaʊt/;"on the subject of somebody/something; in connection with somebody/something";a book about flowers
8;above;вище;adverb;a1;/əˈbʌv/;/əˈbʌv/;at or to a higher place;Put it on the shelf above.
9;above;вище;preposition;a1;/əˈbʌv/;/əˈbʌv/;at or to a higher place or position than something/somebody;The water came above our knees.
10;abroad;за кордоном;adverb;a2;/əˈbrɔːd/;/əˈbrɔːd/;in or to a foreign country;to go/travel/live/study abroad 
11;absence;відсутність;noun;c1;/ˈæbsəns/;/ˈæbsəns/;"the fact of somebody being away from a place where they are usually expected to be; the occasion or period of time when somebody is away";in somebody's absence, The decision was made in my absence (= while I was not there).
12;absent;відсутній;adjective;c1;/ˈæbsənt/;/ˈæbsənt/;not in a place because of illness, etc.;He was absent from work for two weeks.
13;absolute;абсолютний;adjective;b2;/ˈæbsəluːt/;/ˈæbsəluːt/;total and complete;I've joined a class for absolute beginners.
14;absolutely;абсолютно;adverb;b1;/ˈæbsəluːtli/;/ˈæbsəluːtli/;used to emphasize that something is completely true;You're absolutely right.
15;absorb;поглинати;verb;b2;/əbˈzɔːb/;/əbˈzɔːrb/;to take in a liquid, gas or other substance from the surface or space around;absorb something, Plants absorb carbon dioxide from the air.
16;abstract;абстрактний;adjective;b2;/ˈæbstrækt/;/ˈæbstrækt/;based on general ideas and not on any particular real person, thing or situation;abstract knowledge/principles
17;absurd;абсурдний;adjective;c1;/əbˈsɜːd/;/əbˈsɜːrd/;"extremely silly; not logical and sensible";That uniform makes the guards look absurd.
18;abundance;достаток;noun;c1;/əˈbʌndəns/;/əˈbʌndəns/;a large quantity that is more than enough;The brochure promised beautiful walks with an abundance of wildlife.
